Season Start Year,League,Team,Name,Age,POS,CM,KG,Apps Combined,Apps,Starts,Subs,Mins,Goal,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2013,La Liga,Barcelona,Adama Traor_,17,FW ,178,72,0(1),1,0,1,7,-,-,-,-,1,75,-,-,6.62
2013,La Liga,Barcelona,Cristian Tello,22,AM(LR) ,178,65,2(20),22,2,20,410,1,2,-,-,0.9,82.1,-,-,6.31
2013,La Liga,Barcelona,Sergi Roberto,21,M(C) ,177,70,1(16),17,1,16,276,-,-,-,-,0.2,89.3,0.4,-,6.19
2013,La Liga,Barcelona,Jonathan dos Santos,23,M(C) ,172,74,0(3),3,0,3,17,-,-,-,-,-,92.9,-,-,6.09
2013,La Liga,Barcelona,Jean Marie Dongou,18,FW ,176,70,0(1),1,0,1,6,-,-,-,-,-,100,-,-,6.07
2013,La Liga,Barcelona,Ibrahim Afellay,27,AM(L) ,180,76,0(1),1,0,1,3,-,-,-,-,-,100,-,-,6.06
2013,La Liga,Real Madrid,Cristiano Ronaldo,28,AM(LR)^FW ,185,80,30,30,30,0,2563,31,9,4,1,7.2,80.2,1.8,10,8.26
2013,La Liga,Real Madrid,Gareth Bale,24,D(L)^M(CLR) ,183,74,24(3),27,24,3,2080,15,12,3,-,3.3,76.3,1.1,4,7.75
2013,La Liga,Real Madrid,çngel Di Mar’a,25,AM(CLR) ,180,70,27(7),34,27,7,2402,4,17,6,-,1.9,82.1,-,2,7.46
2013,La Liga,Real Madrid,Sergio Ramos,27,D(CR) ,183,75,32,32,32,0,2832,4,1,10,2,1.3,88.8,4.3,6,7.46
2013,La Liga,Real Madrid,Karim Benzema,25,AM(LR)^FW ,187,79,34(1),35,34,1,2799,17,9,2,-,2.9,81.9,0.7,1,7.44
2013,La Liga,Real Madrid,Pepe,30,D(C)^DM(C) ,188,81,30,30,30,0,2700,4,2,9,-,0.6,85.9,2.9,-,7.42
2013,La Liga,Real Madrid,Isco,21,AM(CL) ,176,74,23(9),32,23,9,2014,8,6,1,-,1.4,88.1,0.4,4,7.41
2013,La Liga,Real Madrid,Luka Modric,28,M(CLR) ,174,65,29(5),34,29,5,2656,1,6,6,-,1.1,89.7,0.4,-,7.31
2013,La Liga,Real Madrid,Marcelo20241,25,D(L)^M(CL) ,174,75,24(4),28,24,4,2182,1,6,3,-,1,85,0.6,-,7.27
2013,La Liga,Real Madrid,Mesut …zil,25,AM(CLR) ,183,76,2,2,2,0,137,-,-,-,-,0.5,83.3,-,-,7.23
2013,La Liga,Real Madrid,Daniel Carvajal,21,D(R) ,173,73,25(6),31,25,6,2237,2,2,5,-,0.2,86.7,1.2,1,7.22
2013,La Liga,Real Madrid,Xabi Alonso,31,DM(C) ,183,77,23(3),26,23,3,2030,-,1,5,-,0.3,88,2,1,7.06
2013,La Liga,Real Madrid,Asier Illarramendi,23,DM(C) ,179,76,15(14),29,15,14,1403,2,1,3,-,0.3,88.9,0.7,2,6.94
2013,La Liga,Real Madrid,Rapha‘l Varane,20,D(C)^DM(C) ,191,78,12(2),14,12,2,1086,-,1,1,-,0.1,89.1,1.9,-,6.89
2013,La Liga,Real Madrid,çlvaro Arbeloa,30,D(LR) ,184,79,14(4),18,14,4,1325,-,-,7,-,0.1,91.6,1,-,6.81
2013,La Liga,Real Madrid,F‡bio Coentr‹o,25,D(L) ,179,70,8(2),10,8,2,665,-,-,1,-,0.3,82.8,0.6,-,6.81
2013,La Liga,Real Madrid,Diego L—pez,31,GK ,196,88,36,36,36,0,3240,-,-,-,-,-,69,0.2,-,6.81
2013,La Liga,Real Madrid,Nacho106875,23,D(CLR) ,179,75,8(4),12,8,4,812,-,1,2,-,0.2,91.5,0.8,-,6.8
2013,La Liga,Real Madrid,Sami Khedira,26,DM(C) ,189,85,12(1),13,12,1,981,1,1,4,-,0.6,86.5,0.7,-,6.76
2013,La Liga,Real Madrid,Jes_,20,AM(R) ,178,73,4(14),18,4,14,594,5,4,-,-,1.2,83.8,0.1,-,6.66
2013,La Liga,Real Madrid,çlvaro Morata,21,FW ,187,80,3(20),23,3,20,560,8,-,2,-,1.7,69.2,0.9,-,6.65
2013,La Liga,Real Madrid,Casemiro,21,DM(C) ,184,76,1(11),12,1,11,274,-,1,-,-,0.3,86.2,0.4,-,6.45
2013,La Liga,Real Madrid,Willian Jos_,21,FW ,186,81,0(1),1,0,1,21,-,-,-,-,2,40,2,-,6.34
2013,La Liga,Real Madrid,Iker Casillas,32,GK ,185,84,2,2,2,0,180,-,-,-,-,-,78.1,-,-,6.2
2013,La Liga,Real Madrid,Diego Llorente,20,D ,185,74,0(1),1,0,1,17,-,-,-,-,-,87.5,-,-,6.14
2013,La Liga,Athletic Club,Ander Herrera,24,M(CLR) ,182,70,31(2),33,31,2,2593,5,5,7,-,2.1,80.7,1,3,7.41
2013,La Liga,Athletic Club,Aritz Aduriz,32,FW ,182,78,26(5),31,26,5,2422,16,7,6,2,2.7,61.5,5.6,7,7.36
2013,La Liga,Athletic Club,Carlos Gurpegi,33,D(C)^M(CR) ,181,75,27,27,27,0,2386,2,-,8,-,0.3,82.8,2.9,1,7.3
2013,La Liga,Athletic Club,Iker Muniain,20,AM(CLR) ,169,63,32(3),35,32,3,2742,7,3,6,-,1.5,82.9,0.3,1,7.24
2013,La Liga,Athletic Club,Aymeric Laporte,19,D(CL) ,189,85,33(2),35,33,2,2954,2,-,4,1,0.9,81.8,2.5,2,7.21
2013,La Liga,Athletic Club,Ander Iturraspe,24,DM(C) ,187,74,31(2),33,31,2,2712,-,3,8,-,0.4,81.4,3.2,2,7.16
2013,La Liga,Athletic Club,Markel Susaeta,25,AM(CLR) ,179,67,34(4),38,34,4,2997,6,12,1,-,1.2,78.9,0.4,2,7.14
2013,La Liga,Athletic Club,Mikel Balenziaga,25,D(L) ,177,76,31,31,31,0,2675,-,-,4,-,0.2,72.3,1.1,2,7.09
2013,La Liga,Athletic Club,Mikel San Jos_,24,D(C)^DM(C) ,186,77,19(6),25,19,6,1799,5,1,6,-,0.8,77.8,2.2,3,7.04
2013,La Liga,Athletic Club,Ibai G—mez,23,AM(L) ,177,72,6(12),18,6,12,688,8,2,-,-,2.6,75.3,-,-,6.94
2013,La Liga,Athletic Club,Andoni Iraola,31,D(R) ,182,75,28(6),34,28,6,2622,1,4,3,-,0.4,78.9,0.8,1,6.88
2013,La Liga,Athletic Club,Mikel Rico,28,M(C) ,178,76,31(3),34,31,3,2611,5,1,7,-,0.8,78.6,0.9,-,6.82
2013,La Liga,Athletic Club,Xabier Etxeita,25,D(C) ,185,80,2(1),3,2,1,185,-,-,-,-,-,74,2.7,-,6.77
2013,La Liga,Athletic Club,Gorka Iraizoz,32,GK ,191,87,33,33,33,0,2926,-,-,-,-,-,52.7,0.3,-,6.72
2013,La Liga,Athletic Club,Kike Sola,27,FW ,185,82,2(3),5,2,3,226,1,-,-,-,1.4,61.5,2.2,-,6.72
2013,La Liga,Athletic Club,Enric Saborit,21,D ,186,72,2(3),5,2,3,192,-,-,1,-,0.4,85.2,3.2,-,6.7
2013,La Liga,Athletic Club,îscar De Marcos,24,D(LR)^M(CLR) ,180,76,19(16),35,19,16,1964,5,2,3,-,0.9,72.5,0.9,-,6.64
2013,La Liga,Athletic Club,Iago Herrer’n,25,GK ,187,90,5(1),6,5,1,495,-,-,1,-,-,61.5,0.7,-,6.61
2013,La Liga,Athletic Club,Be–at,26,M(C) ,175,72,12(11),23,12,11,1029,1,3,4,-,0.7,83.3,0.4,-,6.56
2013,La Liga,Athletic Club,Guillermo,20,FW ,181,74,4(5),9,4,5,324,1,-,-,-,1.4,65.2,1.9,-,6.34
2013,La Liga,Athletic Club,Gaizka Toquero,29,AM(CR)^FW ,182,78,5(15),20,5,15,583,-,1,4,-,0.9,56.7,1.6,-,6.3
2013,La Liga,Athletic Club,Erik Mor‡n,22,DM(C) ,187,74,4(10),14,4,10,586,-,-,3,1,0.3,82.5,0.9,-,6.22
2013,La Liga,Athletic Club,Unai Albizua,24,D ,181,79,0(4),4,0,4,34,-,-,-,-,-,66.7,0.3,-,6.2
2013,La Liga,Athletic Club,Borja Ekiza,25,D(C) ,180,73,1,1,1,0,39,-,-,-,-,-,90.5,-,-,6.13
2013,La Liga,Sevilla,Ivan Rakitic,25,M(C) ,184,75,29(5),34,29,5,2705,12,10,7,-,2.4,79.7,1.2,6,7.61
2013,La Liga,Sevilla,Federico Fazio,26,D(C)^DM(C) ,195,85,27,27,27,0,2389,2,1,8,-,0.6,77.1,4.4,1,7.41
2013,La Liga,Sevilla,St_phane Mbia,27,D(C)^DM(C) ,189,82,18(1),19,18,1,1530,3,4,6,1,1.1,83.5,1.9,-,7.22
2013,La Liga,Sevilla,Vicente Iborra,25,DM(C) ,195,88,25(2),27,25,2,2136,3,2,11,1,0.9,76.9,4,2,7.18
2013,La Liga,Sevilla,Daniel Carriço,25,D(C)^DM(C) ,180,80,22,22,22,0,1941,2,-,8,-,0.8,80.4,2.2,2,7.17
2013,La Liga,Sevilla,Coke,26,D(R) ,176,72,23(2),25,23,2,2081,3,1,7,-,0.9,77,1.9,3,7.07
2013,La Liga,Sevilla,Cot‡n,18,M ,176,67,2,2,2,0,180,-,-,1,-,-,90.3,2,-,7.06
2013,La Liga,Sevilla,Javi Varas,31,GK ,182,73,5(1),6,5,1,495,-,-,-,-,-,55.9,0.3,1,7
2013,La Liga,Sevilla,Vitolo,23,AM(LR) ,184,79,25(4),29,25,4,2208,4,6,6,-,1.2,80.6,0.6,1,6.99
2013,La Liga,Sevilla,Carlos Bacca,27,FW ,181,77,27(8),35,27,8,2331,14,5,4,-,1.9,67,1.1,3,6.99
2013,La Liga,Sevilla,Alberto Moreno,21,D(L)^M(L) ,170,65,27(2),29,27,2,2418,3,-,5,1,0.8,78.9,0.9,2,6.92
2013,La Liga,Sevilla,Nico Pareja,29,D(C) ,181,74,23(2),25,23,2,1972,-,1,4,-,0.2,78,2.6,-,6.89
2013,La Liga,Sevilla,Reyes,30,AM(CLR) ,176,72,15(6),21,15,6,1204,-,6,5,-,1.1,68.7,0.5,-,6.81
2013,La Liga,Sevilla,Diego Perotti,25,AM(CLR) ,179,70,3(7),10,3,7,404,1,1,2,-,1.1,86.4,0.2,-,6.79
2013,La Liga,Sevilla,Kevin Gameiro,26,FW ,178,72,20(15),35,20,15,1900,15,3,2,-,1.5,78.2,0.2,3,6.77
2013,La Liga,Sevilla,Beto,31,GK ,182,81,33,33,33,0,2927,-,-,3,-,-,55.9,0.4,1,6.76
2013,La Liga,Sevilla,Fernando Navarro,31,D(CL) ,176,70,21(3),24,21,3,1929,-,-,5,-,-,75.2,1.5,-,6.76
2013,La Liga,Sevilla,Cala,23,D(C) ,180,76,9,9,9,0,781,1,-,5,2,0.8,77.4,2,-,6.71
2013,La Liga,Sevilla,Diogo Figueiras,22,D(R) ,168,64,19(3),22,19,3,1785,1,1,8,1,0.8,71.6,0.5,-,6.7
2013,La Liga,Sevilla,Marko Marin,24,AM(CLR)^FW ,170,64,10(8),18,10,8,950,-,4,3,-,0.9,84.5,0.1,-,6.66
2013,La Liga,Sevilla,Jairo,20,AM(LR) ,170,65,16(9),25,16,9,1388,4,2,3,1,1.1,64.5,0.5,2,6.55
2013,La Liga,Sevilla,Sebasti‡n Crist—foro,20,DM(C) ,173,70,4(8),12,4,8,528,-,1,3,-,0.2,88.3,0.4,-,6.53
2013,La Liga,Sevilla,Geoffrey Kondogbia,20,DM(C) ,188,80,0(2),2,0,2,90,-,-,2,-,0.5,93.2,0.5,-,6.47
2013,La Liga,Sevilla,Carlos Fern‡ndez,17,FW ,188,77,2(2),4,2,2,207,-,-,-,-,0.8,68.8,1.5,-,6.44
2013,La Liga,Sevilla,Bryan Rabello,19,M ,163,60,2(4),6,2,4,207,-,-,-,-,0.8,81.5,0.2,-,6.33
2013,La Liga,Sevilla,Piotr Trochowski,29,M(CLR) ,169,72,9(9),18,9,9,852,-,1,2,-,0.5,81.3,0.4,-,6.33
2013,La Liga,Sevilla,Raul Rusescu,25,FW ,180,73,0(1),1,0,1,6,-,-,-,-,3,100,-,-,6.25
2013,La Liga,Sevilla,Denis Cheryshev,22,AM(L) ,179,74,1(3),4,1,3,92,-,-,1,1,0.8,72.2,0.8,-,6.22
2013,La Liga,Sevilla,Israel Puerto,20,D ,187,74,0(3),3,0,3,38,-,-,-,-,-,96.9,-,-,6.19
2013,La Liga,Sevilla,Moi,19,D ,0,0,1(1),2,1,1,93,-,-,-,-,0.5,84.8,-,-,6.15
2013,La Liga,Sevilla,Mode,19,D ,0,0,0(1),1,0,1,16,-,-,-,-,-,100,-,-,6.09
2013,La Liga,Villarreal,Bruno14231,29,M(C) ,179,70,35(1),36,35,1,3034,6,2,5,1,1,85.6,2.2,2,7.27
2013,La Liga,Villarreal,Mateo Musacchio,23,D(C) ,180,73,32,32,32,0,2845,1,2,4,-,0.4,79.5,2.1,2,7.26
2013,La Liga,Villarreal,Gabriel Paulista,22,D(C) ,185,72,17(1),18,17,1,1543,-,-,4,1,0.4,82.7,2.6,-,7.22
2013,La Liga,Villarreal,Bojan Jokic,27,D(L)^M(L) ,176,75,14(1),15,14,1,1281,-,1,6,-,0.3,78.6,1.3,1,7.12
2013,La Liga,Villarreal,Mario79909,22,D(R) ,178,71,36,36,36,0,3240,1,1,4,-,0.8,77.7,1.4,2,7.11
2013,La Liga,Villarreal,Giovani dos Santos,24,AM(CLR)^FW ,179,71,26(5),31,26,5,2227,11,8,2,-,2,78.2,0.2,4,7.09
2013,La Liga,Villarreal,Cani,32,AM(CLR) ,180,75,24(2),26,24,2,2024,3,5,4,-,1.2,72.1,0.5,3,7.09
2013,La Liga,Villarreal,Jaume Costa,25,D(L) ,171,66,26(4),30,26,4,2458,1,1,12,-,0.5,77.5,0.9,-,6.97
2013,La Liga,Villarreal,Ikechukwu Uche,29,AM(R)^FW ,175,71,19(11),30,19,11,1766,14,1,3,1,1.5,71.8,1.5,3,6.95
2013,La Liga,Villarreal,Manu Trigueros,22,M(C) ,178,70,23(12),35,23,12,2102,2,2,6,-,1.1,81.3,1.1,1,6.88
2013,La Liga,Villarreal,Moi G—mez,19,M(LR) ,179,72,15(4),19,15,4,1261,2,3,-,-,1.4,77.4,0.7,-,6.82
2013,La Liga,Villarreal,Javier Aquino,23,AM(R) ,165,62,18(14),32,18,14,1846,1,5,2,-,0.6,77.8,0.5,1,6.82
2013,La Liga,Villarreal,Hern‡n P_rez,24,AM(LR) ,180,77,9(4),13,9,4,701,1,-,-,-,0.6,68.1,1.8,-,6.78
2013,La Liga,Villarreal,Sergio Asenjo,24,GK ,182,84,35,35,35,0,3150,-,-,1,-,-,45.7,0.4,-,6.72
2013,La Liga,Villarreal,Juan Carlos106860,26,GK ,181,78,3,3,3,0,270,-,-,-,-,-,57.4,1,-,6.69
2013,La Liga,Villarreal,Chechu Dorado,31,D(C) ,180,69,17(2),19,17,2,1533,-,1,2,-,-,83.1,0.6,-,6.6
2013,La Liga,Villarreal,Tom‡s Pina,26,DM(C) ,184,75,21(14),35,21,14,2015,2,-,7,-,0.3,79.3,1.1,-,6.58
2013,La Liga,Villarreal,Nahuel Leiva,17,M ,174,67,2(3),5,2,3,195,-,1,-,-,0.4,79.7,0.2,-,6.57
2013,La Liga,Villarreal,îliver,18,M(L) ,178,70,6(3),9,6,3,512,-,1,2,-,0.9,65.9,0.4,-,6.57
2013,La Liga,Villarreal,J_r_my Perbet,28,FW ,184,85,13(13),26,13,13,1266,10,3,3,-,1.6,63.8,0.5,1,6.56
2013,La Liga,Villarreal,Jonathan Pereira,26,AM(L)^FW ,166,61,15(15),30,15,15,1424,4,5,3,-,1.2,69.4,0.1,-,6.43
2013,La Liga,Villarreal,Edu Ramos,21,M ,176,71,2(1),3,2,1,139,-,-,-,-,0.3,89.2,0.3,-,6.25
2013,La Liga,Villarreal,Pablo I–’guez,19,D ,178,71,3,3,3,0,270,-,-,-,1,0.3,69.3,1,-,6.08
2013,La Liga,Villarreal,Joan Rom‡n,20,M ,175,65,1(1),2,1,1,91,-,-,-,-,0.5,75.7,-,-,5.96
2013,La Liga,Real Sociedad,Carlos Vela,24,AM(CLR)^FW ,177,75,35(2),37,35,2,3122,16,12,4,-,2.3,78.7,0.7,5,7.46
2013,La Liga,Real Sociedad,Zaldœa,21,D(R) ,176,71,10,10,10,0,891,-,-,2,-,0.2,72.9,2.7,-,7.34
2013,La Liga,Real Sociedad,Antoine Griezmann,22,AM(CLR)^FW ,176,67,31(4),35,31,4,2678,16,3,5,-,3.2,77.3,1.2,4,7.22
2013,La Liga,Real Sociedad,Jos_ çngel,24,D(L) ,182,77,22,22,22,0,1912,1,5,5,-,0.5,78.7,0.6,3,7.21
2013,La Liga,Real Sociedad,Liassine Cadamuro,25,D(L) ,186,76,4,4,4,0,360,-,-,-,-,-,84,2.8,1,7.13
2013,La Liga,Real Sociedad,Markel Bergara,27,DM(C) ,181,78,32,32,32,0,2735,1,3,4,-,0.5,83.8,2.1,1,7.04
2013,La Liga,Real Sociedad,Carlos Mart’nez,27,D(R) ,189,79,24,24,24,0,2119,-,-,2,-,0.1,73.6,1.8,-,6.92
2013,La Liga,Real Sociedad,I–igo Mart’nez,22,D(C) ,181,77,35,35,35,0,3124,2,-,11,-,0.7,82.1,2,-,6.89
2013,La Liga,Real Sociedad,Ion Ansotegi,31,D(C) ,192,84,18(6),24,18,6,1789,2,-,1,-,0.5,81.3,2.5,-,6.88
2013,La Liga,Real Sociedad,Esteban Granero,26,M(CR) ,179,77,2(2),4,2,2,248,-,1,1,-,0.5,91.8,0.5,-,6.87
2013,La Liga,Real Sociedad,Alberto De la Bella,27,D(L) ,182,82,16(1),17,16,1,1467,1,2,4,-,0.9,81.4,1.1,-,6.86
2013,La Liga,Real Sociedad,Mikel Gonz‡lez,28,D(CL) ,190,79,20(1),21,20,1,1781,-,-,7,1,0.2,82.2,2.2,2,6.82
2013,La Liga,Real Sociedad,Sergio Canales,22,AM(CLR) ,179,65,13(3),16,13,3,1056,2,-,3,-,1.7,83.4,0.3,-,6.78
2013,La Liga,Real Sociedad,Rub_n Pardo,21,DM(C) ,182,68,21(14),35,21,14,1912,3,8,5,-,0.6,85.5,0.2,3,6.77
2013,La Liga,Real Sociedad,Claudio Bravo,30,GK ,185,84,37,37,37,0,3330,-,-,3,-,-,56.5,0.5,1,6.77
2013,La Liga,Real Sociedad,Xabi Prieto,30,AM(CR) ,186,76,18(12),30,18,12,1782,2,3,6,-,0.5,80.5,3,-,6.76
2013,La Liga,Real Sociedad,David Zurutuza,27,M(C) ,186,78,19(9),28,19,9,1700,1,2,4,-,0.5,78.2,1.3,-,6.73
2013,La Liga,Real Sociedad,Gonzalo Castro25945,29,AM(CLR) ,176,70,12(11),23,12,11,1030,2,3,1,-,1,79.6,0.5,1,6.69
2013,La Liga,Real Sociedad,Imanol Agirretxe,26,FW ,187,77,21(10),31,21,10,1972,8,1,1,-,2.1,64.9,1.9,2,6.66
2013,La Liga,Real Sociedad,Daniel Estrada,26,D(LR) ,179,74,3,3,3,0,226,-,-,-,-,-,84.3,1.3,-,6.57
2013,La Liga,Real Sociedad,Gorka Elustondo,26,D(C)^DM(C) ,184,79,11(9),20,11,9,1071,-,-,2,-,0.6,83.4,0.9,-,6.57
2013,La Liga,Real Sociedad,Haris Seferovic,21,FW ,185,69,9(15),24,9,15,871,2,2,2,-,1.6,71.4,0.3,-,6.42
2013,La Liga,Real Sociedad,Gazta–aga,22,M ,182,78,1(2),3,1,2,139,-,1,1,-,0.3,87.1,1,-,6.39
2013,La Liga,Real Sociedad,Pablo Herv’as,20,M ,174,68,0(1),1,0,1,16,-,-,-,-,1,85.7,-,-,6.34
2013,La Liga,Real Sociedad,Javi Ros,23,M ,174,67,2(7),9,2,7,252,-,-,2,-,0.2,78.9,0.4,-,6.29
2013,La Liga,Real Sociedad,Marco Sangalli,21,M ,179,66,1(1),2,1,1,103,-,-,-,-,-,91.2,0.5,-,6.1
2013,La Liga,Real Sociedad,E–aut Zubikarai,29,GK ,185,84,1,1,1,0,90,-,-,-,-,-,64.7,-,-,5.75
2013,La Liga,Valencia,Daniel Parejo,24,M(C) ,180,75,28(3),31,28,3,2432,4,5,7,-,1,87.7,0.9,3,7.39
2013,La Liga,Valencia,Jonathan Viera,24,AM(CL) ,170,64,1,1,1,0,80,-,-,-,-,1,84.2,-,-,7.21
2013,La Liga,Valencia,Jeremy Mathieu,29,D(CL)^M(L) ,190,85,32,32,32,0,2827,3,-,6,1,0.6,82.8,1.9,-,7.07
2013,La Liga,Valencia,Pablo Piatti,24,AM(CLR)^FW ,163,63,13(4),17,13,4,1125,5,3,3,-,1.9,75,0.9,2,7.07
2013,La Liga,Valencia,Adil Rami,27,D(C) ,190,82,3,3,3,0,270,-,-,1,-,1,84.6,3.7,1,7.03
2013,La Liga,Valencia,Juan Bernat,20,D(L)^M(L) ,170,67,26(6),32,26,6,2485,1,2,2,-,0.3,86.5,1,2,6.98
