Season Start Year,League,Team,Name,Age,POS,CM,KG,Apps Combined,Apps,Starts,Subs,Mins,Goal,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Skills
2013,La Liga,Barcelona,Mart’n Montoya (2013),22,Defender,174,74,12(1),13,12,1,1123,0,2,-,-,0.6,87.6,2.5,-,7.19
2013,La Liga,Barcelona,Javier Mascherano (2013),29,Defender,174,74,27(1),28,27,1,2371,0,-,9,-,0.1,88.9,1.2,-,7.17
2013,La Liga,Barcelona,Pedro (2013),26,Midfielder,169,64,28(9),37,28,9,2382,15,8,3,-,1.9,84.5,0.2,2,7.14
2013,La Liga,Barcelona,Jordi Alba (2013),24,Defender,170,69,14(1),15,14,1,1215,0,2,5,1,0.3,89.4,1.1,-,7.08
2013,La Liga,Barcelona,Xavi (2013),33,Midfielder,170,68,26(4),30,26,4,2270,3,2,-,-,1.1,93,0.2,-,7.06
2013,La Liga,Barcelona,V’ctor Vald_s (2013),31,Keeper,183,78,26,26,26,0,2279,0,-,2,-,-,61.7,0.3,-,6.94
2013,La Liga,Barcelona,Alexandre Song (2013),26,Defender,185,74,12(7),19,12,7,1125,0,-,2,-,0.2,91.7,1.3,-,6.85
2013,La Liga,Barcelona,Pinto (2013),37,Keeper,185,82,13(1),14,13,1,1236,0,-,1,-,-,71.9,0.4,-,6.76
2013,La Liga,Barcelona,Adama Traor_ (2013),17,Forward,178,72,0(1),1,0,1,7,0,-,-,-,1,75,-,-,6.62
2013,La Liga,Barcelona,Cristian Tello (2013),22,Midfielder,178,65,2(20),22,2,20,410,1,2,-,-,0.9,82.1,-,-,6.31
2013,La Liga,Barcelona,Sergi Roberto (2013),21,Midfielder,177,70,1(16),17,1,16,276,0,-,-,-,0.2,89.3,0.4,-,6.19
2013,La Liga,Barcelona,Jonathan dos Santos (2013),23,Midfielder,172,74,0(3),3,0,3,17,0,-,-,-,-,92.9,-,-,6.09
2013,La Liga,Barcelona,Jean Marie Dongou (2013),18,Forward,176,70,0(1),1,0,1,6,0,-,-,-,-,100,-,-,6.07,Passing
2013,La Liga,Barcelona,Ibrahim Afellay (2013),27,Midfielder,180,76,0(1),1,0,1,3,0,-,-,-,-,100,-,-,6.06,Passing
2013,La Liga,Real Madrid,Cristiano Ronaldo (2013),28,Forward,185,80,30,30,30,0,2563,31,9,4,1,7.2,80.2,1.8,10,8.26,Scoring
2013,La Liga,Real Madrid,Gareth Bale (2013),24,Defender,183,74,24(3),27,24,3,2080,15,12,3,-,3.3,76.3,1.1,4,7.75,Defending
2013,La Liga,Real Madrid,çngel Di Mar’a (2013),25,Midfielder,180,70,27(7),34,27,7,2402,4,17,6,-,1.9,82.1,-,2,7.46
2013,La Liga,Real Madrid,Sergio Ramos (2013),27,Defender,183,75,32,32,32,0,2832,4,1,10,2,1.3,88.8,4.3,6,7.46,Defending
2013,La Liga,Real Madrid,Karim Benzema (2013),25,Forward,187,79,34(1),35,34,1,2799,17,9,2,-,2.9,81.9,0.7,1,7.44,Scoring
2013,La Liga,Real Madrid,Pepe (2013),30,Defender,188,81,30,30,30,0,2700,4,2,9,-,0.6,85.9,2.9,-,7.42,Defending
2013,La Liga,Real Madrid,Isco (2013),21,Midfielder,176,74,23(9),32,23,9,2014,8,6,1,-,1.4,88.1,0.4,4,7.41
2013,La Liga,Real Madrid,Luka Modric (2013),28,Midfielder,174,65,29(5),34,29,5,2656,1,6,6,-,1.1,89.7,0.4,-,7.31
2013,La Liga,Real Madrid,Marcelo20241 (2013),25,Defender,174,75,24(4),28,24,4,2182,1,6,3,-,1,85,0.6,-,7.27
2013,La Liga,Real Madrid,Mesut …zil (2013),25,Midfielder,183,76,2,2,2,0,137,0,-,-,-,0.5,83.3,-,-,7.23
2013,La Liga,Real Madrid,Daniel Carvajal (2013),21,Defender,173,73,25(6),31,25,6,2237,2,2,5,-,0.2,86.7,1.2,1,7.22
2013,La Liga,Real Madrid,Xabi Alonso (2013),31,Midfielder,183,77,23(3),26,23,3,2030,0,1,5,-,0.3,88,2,1,7.06
2013,La Liga,Real Madrid,Asier Illarramendi (2013),23,Midfielder,179,76,15(14),29,15,14,1403,2,1,3,-,0.3,88.9,0.7,2,6.94
2013,La Liga,Real Madrid,Rapha‘l Varane (2013),20,Defender,191,78,12(2),14,12,2,1086,0,1,1,-,0.1,89.1,1.9,-,6.89
2013,La Liga,Real Madrid,çlvaro Arbeloa (2013),30,Defender,184,79,14(4),18,14,4,1325,0,-,7,-,0.1,91.6,1,-,6.81
2013,La Liga,Real Madrid,F‡bio Coentr‹o (2013),25,Defender,179,70,8(2),10,8,2,665,0,-,1,-,0.3,82.8,0.6,-,6.81
2013,La Liga,Real Madrid,Diego L—pez (2013),31,Keeper,196,88,36,36,36,0,3240,0,-,-,-,-,69,0.2,-,6.81
2013,La Liga,Real Madrid,Nacho106875 (2013),23,Defender,179,75,8(4),12,8,4,812,0,1,2,-,0.2,91.5,0.8,-,6.8
2013,La Liga,Real Madrid,Sami Khedira (2013),26,Midfielder,189,85,12(1),13,12,1,981,1,1,4,-,0.6,86.5,0.7,-,6.76
2013,La Liga,Real Madrid,Jes_ (2013),20,Midfielder,178,73,4(14),18,4,14,594,5,4,-,-,1.2,83.8,0.1,-,6.66
2013,La Liga,Real Madrid,çlvaro Morata (2013),21,Forward,187,80,3(20),23,3,20,560,8,-,2,-,1.7,69.2,0.9,-,6.65
2013,La Liga,Real Madrid,Casemiro (2013),21,Midfielder,184,76,1(11),12,1,11,274,0,1,-,-,0.3,86.2,0.4,-,6.45
2013,La Liga,Real Madrid,Willian Jos_ (2013),21,Forward,186,81,0(1),1,0,1,21,0,-,-,-,2,40,2,-,6.34
2013,La Liga,Real Madrid,Iker Casillas (2013),32,Keeper,185,84,2,2,2,0,180,0,-,-,-,-,78.1,-,-,6.2
2013,La Liga,Real Madrid,Diego Llorente (2013),20,Defender,185,74,0(1),1,0,1,17,0,-,-,-,-,87.5,-,-,6.14
2013,La Liga,Athletic Club,Ander Herrera (2013),24,Midfielder,182,70,31(2),33,31,2,2593,5,5,7,-,2.1,80.7,1,3,7.41
2013,La Liga,Athletic Club,Aritz Aduriz (2013),32,Forward,182,78,26(5),31,26,5,2422,16,7,6,2,2.7,61.5,5.6,7,7.36,Scoring
2013,La Liga,Athletic Club,Carlos Gurpegi (2013),33,Defender,181,75,27,27,27,0,2386,2,-,8,-,0.3,82.8,2.9,1,7.3
2013,La Liga,Athletic Club,Iker Muniain (2013),20,Midfielder,169,63,32(3),35,32,3,2742,7,3,6,-,1.5,82.9,0.3,1,7.24
2013,La Liga,Athletic Club,Aymeric Laporte (2013),19,Defender,189,85,33(2),35,33,2,2954,2,-,4,1,0.9,81.8,2.5,2,7.21
2013,La Liga,Athletic Club,Ander Iturraspe (2013),24,Midfielder,187,74,31(2),33,31,2,2712,0,3,8,-,0.4,81.4,3.2,2,7.16
