Season Start Year,League,Team,Info,Name,Age,POS,CM,KG,Apps Combined,Apps,Starts,Subs,Mins,Goal,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2013,La Liga,Barcelona,Carles Puyol Barcelona/36/D(CLR) ,Carles Puyol,35,D(CLR) ,178,80,5,5,5,0,430,1,-,-,-,0.2,92.3,2.6,-,7.46
2013,La Liga,Barcelona,Dani Alves Barcelona/31/D(CR) ,Dani Alves,30,D(CR) ,173,64,26(1),27,26,1,2388,2,3,6,-,1.2,87.3,1.2,-,7.45
2013,La Liga,Barcelona,Marc Bartra Barcelona/23/D(C) ,Marc Bartra,22,D(C) ,183,70,17(3),20,17,3,1590,1,-,3,-,0.4,89.9,2.2,-,7.39
2013,La Liga,Barcelona,Andrés Iniesta Barcelona/30/AM(CLR) ,Andrés Iniesta,29,AM(CLR) ,170,65,27(8),35,27,8,2493,3,7,-,-,1.2,90.7,0.1,1,7.37
2013,La Liga,Barcelona,Cesc Fàbregas Barcelona/27/M(CLR)^FW ,Cesc Fàbregas,26,M(CLR)^FW ,175,74,28(8),36,28,8,2488,8,13,4,-,1.4,87,0.5,1,7.31
2013,La Liga,Barcelona,Adriano Barcelona/30/D(CLR)^M(LR) ,Adriano13471,29,D(CLR)^M(LR) ,172,67,24(2),26,24,2,2121,3,1,8,-,1.3,89.6,1.6,2,7.28
2013,La Liga,Barcelona,Sergio Busquets Barcelona/26/D(C)^DM(C) ,Sergio Busquets,25,D(C)^DM(C) ,189,73,30(2),32,30,2,2660,1,1,12,-,0.3,92.5,1.8,-,7.25
2013,La Liga,Barcelona,Martín Montoya Barcelona/23/D(LR) ,Martín Montoya,22,D(LR) ,174,74,12(1),13,12,1,1123,-,2,-,-,0.6,87.6,2.5,-,7.19
2013,La Liga,Barcelona,Javier Mascherano Barcelona/30/D(C)^DM(C) ,Javier Mascherano,29,D(C)^DM(C) ,174,74,27(1),28,27,1,2371,-,-,9,-,0.1,88.9,1.2,-,7.17
2013,La Liga,Barcelona,Pedro Barcelona/27/AM(LR) ,Pedro,26,AM(LR) ,169,64,28(9),37,28,9,2382,15,8,3,-,1.9,84.5,0.2,2,7.14
2013,La Liga,Barcelona,Jordi Alba Barcelona/25/D(L)^M(L) ,Jordi Alba,24,D(L)^M(L) ,170,69,14(1),15,14,1,1215,-,2,5,1,0.3,89.4,1.1,-,7.08
2013,La Liga,Barcelona,Xavi Barcelona/34/DM(C) ,Xavi,33,DM(C) ,170,68,26(4),30,26,4,2270,3,2,-,-,1.1,93,0.2,-,7.06
2013,La Liga,Barcelona,Víctor Valdés Barcelona/32/GK ,Víctor Valdés,31,GK ,183,78,26,26,26,0,2279,-,-,2,-,-,61.7,0.3,-,6.94
2013,La Liga,Barcelona,Alexandre Song Barcelona/27/D(C)^DM(C) ,Alexandre Song,26,D(C)^DM(C) ,185,74,12(7),19,12,7,1125,-,-,2,-,0.2,91.7,1.3,-,6.85
2013,La Liga,Barcelona,Pinto Barcelona/38/GK ,Pinto,37,GK ,185,82,13(1),14,13,1,1236,-,-,1,-,-,71.9,0.4,-,6.76
2013,La Liga,Barcelona,Adama Traoré Barcelona/18/FW ,Adama Traoré,17,FW ,178,72,0(1),1,0,1,7,-,-,-,-,1,75,-,-,6.62
2013,La Liga,Barcelona,Cristian Tello Barcelona/23/AM(LR) ,Cristian Tello,22,AM(LR) ,178,65,2(20),22,2,20,410,1,2,-,-,0.9,82.1,-,-,6.31
2013,La Liga,Barcelona,Sergi Roberto Barcelona/22/M(C) ,Sergi Roberto,21,M(C) ,177,70,1(16),17,1,16,276,-,-,-,-,0.2,89.3,0.4,-,6.19
2013,La Liga,Barcelona,Jonathan dos Santos Barcelona/24/M(C) ,Jonathan dos Santos,23,M(C) ,172,74,0(3),3,0,3,17,-,-,-,-,-,92.9,-,-,6.09
2013,La Liga,Barcelona,Jean Marie Dongou Barcelona/19/FW ,Jean Marie Dongou,18,FW ,176,70,0(1),1,0,1,6,-,-,-,-,-,100,-,-,6.07
